"Player","Position","Team","Sleeper","ESPN","Yahoo!","CBS","Fantrax","FFPC","BB10s","NFFC","Underdog","Consensus"
"Jahmyr Gibbs","RB","DET","1.7","1.5","1.5","1.3","1.3","1.1","1.8","1.6","1.1","1.4"
"Bijan Robinson","RB","ATL","2.4","2.6","1.9","1.9","1.9","1.9","1.6","1.7","2.1","2.0"
"Ja'Marr Chase","WR","CIN","3.1","4.2","3.3","4.0","3.3","3.0","3.4","3.2","3.0","3.4"
"Puka Nacua","WR","LAR","4.0","4.5","4.6","5.1","4.4","4.8","4.7","4.5","4.1","4.5"
"Jaxon Smith-Njigba","WR","SEA","6.2","5.9","6.6","7.0","6.0","6.1","6.1","5.8","5.5","6.1"
"Christian McCaffrey","RB","SF","5.4","6.6","5.5","6.9","5.7","8.1","6.4","6.7","6.3","6.4"
"Jonathan Taylor","RB","IND","7.3","8.1","7.1","5.3","7.3","9.6","8.0","8.5","7.8","7.7"
"Amon-Ra St. Brown","WR","DET","8.0","8.4","8.1","9.4","8.1","7.3","8.4","7.4","7.0","8.0"
"James Cook","RB","BUF","10.1","12.9","9.9","11.2","10.8","9.9","12.5","11.3","10.2","11.0"
"CeeDee Lamb","WR","DAL","9.7","10.7","10.2","15.2","12.2","14.8","11.7","11.7","9.7","11.8"
"Ashton Jeanty","RB","LV","14.6","17.3","13.9","12.8","10.1","10.4","10.8","10.5","12.0","12.5"
"Justin Jefferson","WR","MIN","11.8","12.2","12.4","16.9","11.7","14.8","13.6","12.6","11.1","13.0"
"De'Von Achane","RB","MIA","12.0","12.1","15.8","11.6","14.2","17.3","13.6","15.2","17.2","14.3"
"Saquon Barkley","RB","PHI","13.1","16.3","12.5","14.0","15.6","18.1","18.3","17.7","13.8","15.5"
"Chase Brown","RB","CIN","17.4","24.2","16.6","13.2","13.6","12.0","16.7","15.1","14.9","16.0"
"Omarion Hampton","RB","LAC","15.1","27.5","18.6","19.4","15.5","17.7","15.6","14.5","16.4","17.8"
"Drake London","WR","ATL","15.7","18.9","18.5","17.9","19.9","22.2","19.4","19.0","21.4","19.2"
"Kenneth Walker","RB","KC","19.6","23.6","17.2","20.5","18.0","14.9","20.3","19.0","14.4","18.6"
"Derrick Henry","RB","BAL","21.7","20.0","18.2","14.4","20.4","21.3","22.8","23.2","17.1","19.9"
"Brock Bowers","TE","LV","22.8","24.0","21.0","28.1","19.3","6.4","23.8","21.8","19.9","20.8"
"A.J. Brown","WR","NE","18.4","27.1","25.1","24.2","17.8","20.9","27.9","23.0","18.9","22.6"
"Trey McBride","TE","ARI","20.3","19.9","25.1","27.8","24.2","14.9","22.8","24.2","29.6","23.2"
"Nico Collins","WR","HOU","25.6","27.7","22.1","28.0","22.6","27.4","24.7","24.9","23.0","25.1"
"George Pickens","WR","DAL","23.4","29.4","22.4","23.1","26.1","26.9","27.1","24.9","23.3","25.2"
"Jeremiyah Love","RB","ARI","26.9","18.7","27.1","30.0","34.9","28.1","24.3","26.6","26.5","27.0"
"Rashee Rice","WR","KC","27.9","22.3","33.6","23.7","27.4","27.9","31.3","28.3","26.7","27.7"
"Josh Allen","QB","BUF","23.1","22.2","19.6","19.9","32.5","40.5","26.2","28.5","36.4","27.7"
"Malik Nabers","WR","NYG","28.0","36.3","33.9","34.2","23.7","24.5","31.9","32.4","23.5","29.8"
"Chris Olave","WR","NO","30.7","35.1","33.1","30.3","22.7","28.3","31.1","29.0","29.0","29.9"
"Kyren Williams","RB","LAR","29.8","43.1","29.5","26.6","27.4","36.1","29.6","33.4","31.8","31.9"
"Breece Hall","RB","NYJ","31.2","32.0","35.8","31.8","32.4","30.2","32.3","33.4","29.3","32.0"
"DeVonta Smith","WR","PHI","37.0","39.2","29.4","38.4","29.4","33.6","38.9","34.7","27.7","34.3"
"Josh Jacobs","RB","GB","31.0","33.3","32.4","28.1","40.5","44.4","34.1","38.5","41.4","36.0"
"Javonte Williams","RB","DAL","36.2","38.1","34.9","35.8","30.9","40.4","32.9","35.9","35.1","35.6"
"Zay Flowers","WR","BAL","42.3","42.2","37.5","37.7","35.5","32.2","40.5","35.9","31.1","37.2"
"Emeka Egbuka","WR","TB","39.2","44.7","43.3","39.6","39.0","35.0","45.4","37.5","33.0","39.6"
"Tee Higgins","WR","CIN","34.5","58.1","33.3","40.6","38.5","40.1","39.4","37.6","34.9","39.7"
"Tetairoa McMillan","WR","CAR","35.7","42.4","41.6","44.6","37.6","43.3","37.6","36.8","39.9","39.9"
"Garrett Wilson","WR","NYJ","45.8","36.1","49.1","48.9","39.7","36.5","40.5","38.6","39.2","41.6"
"Colston Loveland","TE","CHI","41.8","45.3","39.6","45.9","42.9","21.1","47.7","45.9","44.1","41.6"
"Cam Skattebo","RB","NYG","43.9","43.3","41.2","31.5","41.4","40.1","46.1","46.4","43.8","42.0"
"Travis Etienne","RB","NO","44.5","48.6","43.3","43.2","37.5","46.2","37.2","41.0","42.4","42.7"
"Ladd McConkey","WR","LAC","38.1","52.8","46.0","45.4","57.0","37.7","43.7","40.1","34.0","43.9"
"Jaylen Waddle","WR","DEN","47.6","60.5","43.5","53.8","45.0","38.8","51.0","45.9","38.5","47.2"
"Lamar Jackson","QB","BAL","33.4","38.8","37.0","41.4","50.9","77.0","48.3","56.1","56.2","48.8"
"Bucky Irving","RB","TB","39.1","56.1","54.3","41.8","58.3","54.2","48.0","54.4","54.7","51.2"
"Quinshon Judkins","RB","CLE","53.9","54.7","53.1","48.1","50.0","48.6","51.5","53.9","53.3","51.9"
"Tyler Warren","TE","IND","46.2","47.0","47.3","54.2","53.4","28.1","63.3","60.0","62.2","51.3"
"Davante Adams","WR","LAR","50.4","47.6","51.8","58.8","48.0","58.0","51.2","51.9","52.4","52.2"
"Terry McLaurin","WR","WAS","55.4","61.9","54.3","57.5","51.1","50.4","53.3","49.3","47.2","53.4"
"Luther Burden","WR","CHI","49.9","77.2","58.3","63.2","49.2","46.6","48.1","45.3","45.7","53.7"
"D'Andre Swift","RB","CHI","55.7","69.7","48.5","41.0","48.8","49.8","53.9","54.5","47.1","52.1"
"David Montgomery","RB","HOU","51.8","74.8","53.0","55.5","49.9","48.3","51.5","51.5","47.4","53.7"
"TreVeyon Henderson","RB","NE","52.6","76.7","61.2","62.9","46.2","61.2","49.2","51.7","57.4","57.7"
"Drake Maye","QB","NE","48.0","47.4","47.2","53.5","57.8","82.4","55.1","57.5","67.1","57.3"
"Jameson Williams","WR","DET","57.5","68.3","65.7","59.6","56.5","59.8","52.9","51.6","51.7","58.2"
"Joe Burrow","QB","CIN","54.2","60.0","47.9","50.9","56.3","86.0","54.9","55.7","68.3","59.3"
"DJ Moore","WR","BUF","58.6","67.5","64.1","62.1","55.8","47.4","65.2","58.0","53.0","59.1"
"Bhayshul Tuten","RB","JAX","61.1","77.6","62.4","56.2","59.6","51.4","63.9","61.8","50.7","60.5"
"Mike Evans","WR","SF","59.6","94.9","65.9","65.9","60.4","56.7","58.6","55.8","48.8","63.0"
"Rome Odunze","WR","CHI","66.0","69.8","68.6","62.3","61.5","58.0","61.2","58.5","58.4","62.7"
"Jayden Daniels","QB","WAS","62.1","50.9","53.8","63.9","68.7","95.7","64.2","72.8","69.5","66.8"
"Christian Watson","WR","GB","70.3","101.6","67.8","74.5","58.8","54.3","59.3","54.7","57.5","66.5"
"Jadarian Price","RB","SEA","69.8","80.8","66.2","63.1","62.7","60.1","71.7","71.3","61.9","67.5"
"Carnell Tate","WR","TEN","63.4","73.3","78.7","86.4","66.1","67.6","67.1","63.8","61.7","69.8"
"Jalen Hurts","QB","PHI","63.7","52.4","56.7","70.7","72.5","106.0","68.7","80.2","72.6","71.5"
"Marvin Harrison","WR","ARI","75.8","91.2","79.2","76.6","72.7","68.6","74.6","68.9","66.8","74.9"
"Tucker Kraft","TE","GB","65.3","97.8","61.1","75.6","73.9","62.0","81.4","83.5","78.6","75.5"
"Jaylen Warren","RB","PIT","73.8","103.5","76.8","75.3","73.1","70.7","68.4","72.3","70.3","76.0"
"Kyle Pitts","TE","ATL","68.1","65.8","73.3","70.6","80.8","62.7","87.0","86.0","102.8","77.5"
"Sam LaPorta","TE","DET","60.4","65.7","63.0","68.5","85.6","62.6","97.2","95.8","88.6","76.4"
"Brian Thomas","WR","JAX","71.5","106.7","84.3","84.3","69.8","71.8","76.6","71.2","63.9","77.8"
"Harold Fannin","TE","CLE","67.9","77.1","71.4","83.0","76.5","61.7","83.7","86.4","102.9","79.0"
"Parker Washington","WR","JAX","78.3","99.9","85.0","84.8","59.6","55.8","85.0","73.5","58.7","75.6"
"DK Metcalf","WR","PIT","74.0","87.5","86.4","90.4","78.8","80.6","72.7","73.5","75.6","79.9"
"Caleb Williams","QB","CHI","71.4","92.2","68.9","74.9","71.1","106.2","68.7","74.6","73.2","77.9"
"Tony Pollard","RB","TEN","87.3","98.9","85.7","73.9","77.2","84.2","79.3","82.3","76.8","82.8"
"Courtland Sutton","WR","DEN","79.4","84.5","101.5","80.5","75.6","92.0","74.8","74.9","83.3","82.9"
"Dak Prescott","QB","DAL","81.6","87.1","75.0","59.8","79.2","118.8","76.7","83.8","80.8","82.5"
"Jordyn Tyson","WR","NO","77.0","111.5","91.8","111.4","141.1","87.3","84.2","80.6","71.6","95.2"
"Rhamondre Stevenson","RB","NE","85.1","100.9","81.1","84.5","83.9","72.3","78.9","82.4","71.2","82.3"
"Alec Pierce","WR","IND","97.8","98.2","86.9","75.0","109.6","98.0","76.8","79.7","91.9","90.4"
"Chuba Hubbard","RB","CAR","76.6","117.7","78.6","89.8","88.8","103.4","70.4","81.0","94.8","89.0"
"Justin Herbert","QB","LAC","84.4","109.1","68.8","84.9","85.6","115.7","74.5","79.4","83.8","87.4"
"Rico Dowdle","RB","PIT","87.3","109.4","87.1","80.0","87.1","78.8","87.5","92.6","85.3","88.3"
"RJ Harvey","RB","DEN","79.8","134.9","101.0","76.4","74.3","88.6","73.6","81.4","88.1","88.7"
"Trevor Lawrence","QB","JAX","98.5","95.0","85.1","86.3","92.4","118.7","77.9","82.7","86.5","91.5"
"Jaxson Dart","QB","NYG","82.3","76.2","85.0","100.2","104.4","139.6","78.7","96.0","101.9","96.0"
"Mike Wilson","WR","ARI","83.3","107.0","104.6","108.2","95.1","90.7","89.9","86.2","91.7","95.2"
"Chris Godwin","WR","TB","95.9","148.1","98.2","97.6","86.8","76.8","101.4","92.4","87.1","98.2"
"Mike Pittman","WR","PIT","103.6","90.7","120.1","113.7","95.9","89.0","93.3","88.8","99.3","99.4"
"Makai Lemon","WR","PHI","86.5","136.0","108.4","120.0","94.2","111.8","96.2","95.6","82.3","103.4"
"J.K. Dobbins","RB","DEN","92.6","123.1","98.1","91.9","95.3","96.9","98.0","101.1","96.0","99.2"
"Quentin Johnston","WR","LAC","107.8","142.0","108.0","100.6","92.1","91.4","98.8","87.5","74.6","100.3"
"George Kittle","TE","SF","91.6","99.5","88.2","94.1","105.6","72.6","114.5","118.1","113.8","99.8"
"Kyle Monangai","RB","CHI","95.1","130.9","100.5","103.1","96.7","103.3","90.5","95.5","99.7","101.7"
"Matt Stafford","QB","LAR","99.6","79.6","100.3","93.0","95.5","156.7","88.2","95.3","109.0","101.9"
"Blake Corum","RB","LAR","104.0","141.0","99.5","107.6","98.6","79.4","100.6","96.6","89.0","101.8"
"Jonathon Brooks","RB","CAR","123.8","126.1","102.6","97.5","61.2","65.2","120.7","102.9","78.9","97.7"
"Kenneth Gainwell","RB","TB","111.8","122.6","117.1","99.8","104.2","83.5","98.0","94.5","109.3","104.5"
"Josh Downs","WR","IND","110.5","121.2","112.7","107.1","83.2","78.8","116.3","103.5","81.4","101.6"
"Brock Purdy","QB","SF","117.6","104.9","98.1","94.9","110.3","136.6","88.9","98.7","102.1","105.8"
"Patrick Mahomes","QB","KC","106.4","109.4","98.6","99.5","105.5","150.3","94.0","104.2","97.2","107.2"
"Travis Kelce","TE","KC","93.3","100.4","94.1","101.5","116.2","83.4","120.7","122.5","122.7","106.1"
"Wan'Dale Robinson","WR","TEN","109.0","118.1","130.8","102.7","103.9","97.3","106.5","99.2","111.5","108.8"
"Jakobi Meyers","WR","JAX","102.3","116.3","128.3","114.7","109.6","123.4","95.9","99.3","115.5","111.7"
"Jordan Addison","WR","MIN","105.8","122.1","118.2","117.2","108.2","113.0","106.6","106.0","89.8","109.7"
"Jayden Reed","WR","GB","114.6","138.1","120.0","125.5","110.8","98.5","114.2","106.6","79.6","112.0"
"Texans","DST","HOU","103.8","89.3","92.2","104.0","104.7","","147.0","146.4","","112.5"
"Bo Nix","QB","DEN","119.5","89.8","100.6","121.0","114.5","147.5","95.2","106.7","107.1","111.3"
"Rachaad White","RB","WAS","127.8","132.1","120.8","118.9","90.0","102.6","118.4","109.2","114.4","114.9"
"Jake Ferguson","TE","DAL","100.3","112.4","114.6","118.9","109.5","99.8","116.3","119.9","134.0","114.0"
"Dallas Goedert","TE","PHI","124.7","100.9","106.6","85.3","125.4","88.8","134.6","129.6","135.3","114.6"
"Isaiah Likely","TE","NYG","113.8","130.1","108.9","97.3","127.3","77.0","129.1","125.9","126.3","115.1"
"Jordan Mason","RB","MIN","120.0","150.7","118.8","103.3","109.3","90.5","113.2","114.2","103.3","113.7"
"Jacory Croskey-Merritt","RB","WAS","111.4","138.3","115.0","106.7","114.5","96.0","119.0","123.1","106.8","114.5"
"Dalton Kincaid","TE","BUF","90.0","135.5","99.8","123.5","131.2","83.3","126.5","123.1","123.3","115.1"
"Jared Goff","QB","DET","133.3","139.0","114.7","108.1","112.4","157.9","95.9","102.6","110.8","119.4"
"Aaron Jones","RB","MIN","121.3","128.9","122.3","112.9","117.3","124.0","123.4","130.9","126.1","123.0"
"Rams","DST","LAR","90.3","98.0","90.7","117.3","132.4","","166.3","156.7","","121.7"
"Matt Golden","WR","GB","131.9","107.3","129.1","135.9","127.2","110.0","129.5","120.3","104.6","121.8"
"Broncos","DST","DEN","121.5","91.3","100.8","89.9","131.2","","168.8","166.3","","124.2"
"Stefon Diggs","WR","WAS","116.0","131.2","113.7","122.8","81.4","98.3","142.9","132.2","99.6","115.3"
"Xavier Worthy","WR","KC","139.4","137.2","128.6","133.2","128.7","124.5","129.1","119.7","105.2","127.3"
"Mark Andrews","TE","BAL","130.4","123.1","113.7","122.3","136.1","102.0","137.6","136.7","131.2","125.9"
"Romeo Doubs","WR","NE","127.1","153.3","132.0","141.0","124.1","128.1","125.7","121.0","118.5","130.1"
"KC Concepcion","WR","CLE","129.3","150.8","131.4","127.5","118.3","106.0","137.8","129.3","116.3","127.4"
"Seahawks","DST","SEA","109.9","107.3","106.5","115.2","140.0","","163.2","162.3","","129.2"
"Jayden Higgins","WR","HOU","140.2","159.7","133.2","142.3","122.5","123.6","120.1","115.3","121.5","130.9"
"Khalil Shakir","WR","BUF","138.3","128.3","131.6","139.8","134.7","137.6","125.4","124.4","130.7","132.3"
"Kyler Murray","QB","MIN","158.5","147.7","111.3","132.6","124.1","164.1","107.3","121.9","113.5","131.2"
"Baker Mayfield","QB","TB","142.8","148.9","126.9","125.7","130.6","173.2","107.8","117.0","122.1","132.8"
"Jalen Coker","WR","CAR","145.7","161.1","133.3","146.1","129.9","129.2","133.0","129.9","129.6","137.5"
"Jordan Love","QB","GB","146.0","159.3","124.3","139.2","129.7","190.2","109.7","122.5","116.3","137.5"
"Tyrone Tracy","RB","NYG","159.1","166.4","130.9","128.9","135.5","122.4","132.9","134.1","137.5","138.6"
"Tyler Shough","QB","NO","167.9","155.6","129.9","142.3","134.0","176.3","104.3","119.6","125.6","139.5"
"Deebo Samuel","WR","SF","137.2","137.4","127.8","124.7","141.9","125.7","165.2","160.1","128.2","138.7"
"Chris Rodriguez","RB","JAX","156.1","167.3","132.2","134.4","133.2","123.2","138.4","143.6","126.8","139.5"
"Zach Charbonnet","RB","SEA","141.1","153.8","129.0","129.0","146.3","134.4","134.1","155.0","159.7","142.5"
"Woody Marks","RB","HOU","165.4","152.6","132.4","139.3","141.9","136.6","138.7","143.7","141.7","143.6"
"Oronde Gadsden","TE","LAC","115.7","170.0","126.4","154.9","151.5","156.4","135.0","147.4","168.7","147.3"
"Rashid Shaheed","WR","SEA","157.6","159.1","128.5","143.0","144.2","144.3","149.2","141.1","133.9","144.5"
"Tyler Allgeier","RB","ARI","148.0","168.9","130.0","147.7","140.5","137.7","129.1","139.6","145.6","143.0"
"Brenton Strange","TE","JAX","150.5","167.8","128.7","137.8","155.3","124.7","148.6","153.5","149.3","146.2"
"Malik Willis","QB","MIA","190.5","167.0","124.9","147.0","142.6","175.2","119.3","144.4","134.7","149.5"
"Juwan Johnson","TE","NO","188.3","164.3","129.6","145.3","158.9","121.9","144.1","153.4","150.7","150.7"
"Keaton Mitchell","RB","LAC","181.7","169.9","132.4","151.2","136.4","112.7","164.3","151.4","130.6","147.8"
"Chig Okonkwo","TE","WAS","169.6","169.5","126.4","156.9","159.5","121.5","160.8","160.9","144.5","152.2"
"Eagles","DST","PHI","130.9","134.7","123.4","132.0","163.1","","187.9","188.5","","151.5"
"Hunter Henry","TE","NE","132.2","143.0","128.0","155.0","207.1","140.6","153.9","166.1","153.0","153.2"
"Denzel Boston","WR","CLE","162.2","166.6","130.9","151.6","159.6","139.4","156.2","156.2","140.5","151.5"
"Tyjae Spears","RB","TEN","170.2","166.0","133.0","142.9","148.4","140.6","158.4","162.7","157.4","153.3"
"Jonah Coleman","RB","DEN","167.4","170.2","131.0","158.4","183.2","126.5","151.3","151.2","151.2","154.5"
"Alvin Kamara","RB","NO","159.7","156.6","126.2","131.9","155.1","151.1","168.6","175.3","161.7","154.0"
"Isiah Pacheco","RB","DET","185.6","159.8","126.4","139.8","152.3","164.8","160.3","166.1","170.3","158.4"
"Kenyon Sadiq","TE","NYJ","143.1","140.3","129.9","161.5","183.9","151.4","164.1","173.4","179.8","158.6"
"T.J. Hockenson","TE","MIN","163.4","133.6","129.9","163.4","166.1","152.3","170.2","184.8","170.6","159.4"
"Jalen Nailor","WR","LV","183.8","170.3","130.3","153.1","166.8","159.3","168.3","166.9","147.4","160.7"
"Jalen McMillan","WR","TB","196.2","167.9","129.8","","166.2","163.9","162.1","157.8","156.1","162.5"
"Dylan Sampson","RB","CLE","191.2","170.9","130.4","152.7","160.2","148.9","156.4","160.3","174.3","160.6"
"Steelers","DST","PIT","164.1","115.6","134.8","149.5","187.1","","192.6","195.7","","162.8"
"Omar Cooper","WR","NYJ","172.1","170.8","130.8","162.2","160.8","198.3","171.0","175.2","156.3","166.4"
"Patriots","DST","NE","147.8","148.5","126.6","154.9","183.6","","194.2","187.0","","163.2"
"Jauan Jennings","WR","MIN","191.7","170.5","127.8","163.9","150.2","232.2","152.8","161.2","162.9","168.1"
"Tank Bigsby","RB","PHI","183.8","168.3","130.8","157.7","166.5","134.7","183.4","180.9","151.3","161.9"
"Brian Robinson","RB","ATL","147.0","166.4","123.1","156.8","172.0","163.3","182.3","184.0","186.2","164.6"
"Vikings","DST","MIN","151.5","168.6","131.2","136.7","182.8","","187.4","195.1","","164.8"
"De'Zhaun Stribling","WR","SF","174.4","162.8","127.2","136.2","149.0","108.4","217.1","209.5","125.5","156.7"
"Ravens","DST","BAL","142.7","131.9","137.2","151.4","192.4","","203.1","206.0","","166.4"
"Dalton Schultz","TE","HOU","193.8","167.8","129.0","157.8","192.0","163.6","165.8","186.0","168.7","169.4"
"Tre Tucker","WR","LV","205.8","168.3","","154.6","159.5","173.0","162.7","167.4","157.0","168.5"
"Sam Darnold","QB","SEA","175.6","162.6","123.1","136.9","290.7","247.6","126.2","147.7","142.4","172.5"
"Bryce Young","QB","CAR","228.3","168.8","123.1","","219.5","338.3","138.1","181.8","163.5","195.2"
"Travis Hunter","WR","JAX","164.9","119.0","126.7","","257.4","191.5","188.6","196.4","149.7","174.3"
"Daniel Jones","QB","IND","204.5","159.5","128.5","146.0","208.6","261.1","135.2","161.1","146.1","172.3"
"Ricky Pearsall","WR","SF","244.4","169.9","114.6","","","","119.2","146.3","","158.9"
"Jaguars","DST","JAC","169.8","167.1","136.9","165.0","190.7","","198.9","193.6","","174.6"
"C.J. Stroud","QB","HOU","187.6","166.1","125.8","153.3","204.2","298.3","122.8","153.3","145.6","173.0"
"AJ Barner","TE","SEA","186.2","169.0","126.2","169.9","213.7","173.2","181.2","198.7","178.2","177.4"
"Chargers","DST","LAC","183.4","162.9","138.7","161.6","199.6","","204.8","200.0","","178.7"
"Tre' Harris","WR","LAC","212.2","171.0","","","184.0","158.7","185.4","174.4","160.0","178.0"
"Cam Ward","QB","TEN","206.4","168.5","125.7","","211.7","343.9","132.1","156.2","150.8","186.9"
"Isaac TeSlaa","WR","DET","211.8","170.3","126.2","","176.7","278.7","193.4","186.8","183.2","190.9"
"Lions","DST","DET","151.4","151.2","137.4","156.2","232.0","","224.3","233.2","","183.7"
"Jerry Jeudy","WR","CLE","194.7","163.8","","156.6","207.3","215.7","176.4","181.6","193.6","186.2"
"Greg Dulcich","TE","MIA","234.6","170.3","132.3","164.3","219.7","155.4","204.9","216.1","186.1","187.1"
"Fernando Mendoza","QB","LV","186.5","166.9","121.6","","272.0","","172.2","205.6","187.2","187.4"
"Emmett Johnson","RB","KC","197.9","170.0","","","247.6","173.5","163.9","171.2","205.7","190.0"
"Malik Washington","WR","MIA","199.6","170.3","","","178.5","182.2","191.0","196.2","172.5","184.3"
"Mike Washington","RB","LV","203.9","169.8","128.8","162.4","239.2","160.4","184.5","187.9","181.1","179.8"
"Terrance Ferguson","TE","LAR","210.5","166.2","126.2","","160.4","123.2","222.6","221.5","170.0","175.1"
"Tank Dell","WR","HOU","178.0","169.3","","139.7","201.1","199.0","224.2","226.8","180.6","189.8"
"James Conner","RB","ARI","214.7","170.4","126.3","165.6","210.2","222.1","191.4","221.1","215.2","193.0"
"Ryan Flournoy","WR","DAL","236.0","170.5","","","181.5","187.4","203.6","192.3","165.3","190.9"
"JuJu Smith-Schuster","WR","NYG","","169.9","","","","","","","216.0","192.9"
"Barion Brown","WR","NO","","169.9","","","","","","","215.9","192.9"
"Kaden Wetjen","WR","PIT","","170.0","","","","","","","216.0","193.0"
"Cade Stover","TE","HOU","","170.0","","","","","","","216.0","193.0"
"Patrick Ricard","RB","NYG","","170.0","","","","","","","216.0","193.0"
"Nate Boerkircher","TE","JAX","","170.0","","","","","","","216.0","193.0"
"Dante Pettis","WR","BUF","","170.0","","","","","","","216.0","193.0"
"Colson Yankoff","TE","WSH","","170.0","","","","","","","216.0","193.0"
"Emmanuel Henderson Jr.","WR","SEA","","170.0","","","","","","","216.0","193.0"
"Ray-Ray McCloud III","WR","CHI","","170.0","","","","","","","216.0","193.0"
"Salvon Ahmed","RB","CHI","","170.0","","","","","","","216.0","193.0"
"Sincere McCormick","RB","SF","","170.0","","","","","","","216.0","193.0"
"Taylen Green","QB","CLE","","170.0","","","","","","","216.0","193.0"
"Josh Cephus","WR","FA","","170.0","","","","","","","216.0","193.0"
"Matt Hibner","TE","BAL","","170.0","","","","","","","216.0","193.0"
"Xavier Restrepo","WR","TEN","","170.0","","","","","","","216.0","193.0"
"Treyton Welch","TE","NO","","170.0","","","","","","","216.0","193.0"
"Jack Endries","TE","CIN","","170.0","","","","","","","216.0","193.0"
"Brett Rypien","QB","FA","","170.0","","","","","","","216.0","193.0"
"DeAndre Carter","WR","FA","","170.0","","","","","","","216.0","193.0"
"Adonai Mitchell","WR","NYJ","218.8","169.9","","","216.2","179.8","193.2","197.1","171.9","192.4"
"Braelon Allen","RB","NYJ","215.5","170.6","","161.6","186.5","169.6","210.7","211.9","202.7","191.1"
"Jaydon Blue","RB","DAL","233.6","170.4","127.8","","207.5","145.3","216.8","214.5","171.7","185.9"
"MarShawn Lloyd","RB","GB","223.2","170.7","132.1","157.6","228.2","115.7","222.6","215.1","159.3","180.5"
"Packers","DST","GB","203.2","167.7","137.7","","223.9","","214.6","230.0","","196.2"
"Kimani Vidal","RB","LAC","239.2","170.6","","","193.9","186.4","197.0","198.9","203.6","198.5"
"Browns","DST","CLE","266.6","152.6","135.3","168.9","238.6","","203.3","219.4","","197.8"
"Chiefs","DST","KC","205.8","162.7","135.6","","232.6","","220.2","236.1","","198.9"
"Pat Freiermuth","TE","PIT","239.9","168.8","124.8","","236.1","192.2","208.5","234.2","195.3","200.0"
"Bills","DST","BUF","223.0","168.9","131.9","174.5","243.1","","218.0","233.6","","199.0"
"Ray Davis","RB","BUF","237.6","170.8","","","207.5","156.4","219.2","211.6","187.8","198.7"
"Antonio Williams","WR","WAS","217.8","170.9","","","219.8","297.3","201.8","202.0","211.9","217.3"
"Falcons","DST","ATL","228.4","170.2","134.7","157.5","251.6","","220.1","234.7","","199.6"
"Bears","DST","CHI","226.8","169.2","128.7","","253.0","","211.8","222.6","","202.0"
"Gunnar Helm","TE","TEN","235.4","170.3","","","249.9","182.9","189.5","217.8","191.5","205.3"
"Geno Smith","QB","NYJ","","170.3","","","274.6","","173.3","207.3","188.5","202.8"
"Nick Singleton","RB","TEN","195.2","170.4","","","265.8","190.6","200.6","204.7","206.0","204.8"
"Dontayvion Wicks","WR","PHI","","170.6","","","227.8","197.1","225.7","231.3","171.7","204.0"
"Jordan James","RB","SF","","170.8","","158.9","245.4","184.8","228.9","237.9","214.0","205.8"
"Cade Otton","TE","TB","215.7","170.3","","165.8","242.0","237.6","206.3","229.0","192.9","207.5"
"49ers","DST","SF","222.3","168.4","128.6","","249.4","","233.9","245.4","","208.0"
"Kaelon Black","RB","SF","","170.6","","164.1","269.0","181.6","232.2","233.6","211.1","208.9"
"Cowboys","DST","DAL","201.0","166.7","128.8","","270.9","","231.2","250.8","","208.2"
"Justice Hill","RB","BAL","","170.8","","166.6","207.4","209.1","231.2","252.3","213.9","207.3"
"Zachariah Branch","WR","ATL","189.7","170.7","","","229.3","269.3","231.1","226.6","185.7","214.6"
"Kayshon Boutte","WR","NE","219.5","170.7","","","225.8","267.5","197.1","211.5","202.9","213.6"
"Giants","DST","NYG","227.5","169.2","130.5","","267.9","","220.9","240.3","","209.4"
"Kaytron Allen","RB","WAS","239.1","170.5","","","262.5","193.2","205.2","205.1","211.9","212.5"
"Aaron Rodgers","QB","PIT","229.9","169.1","116.5","","254.4","","174.2","206.4","181.1","190.2"
"David Njoku","TE","LAC","207.1","169.7","124.9","","256.9","273.4","213.8","241.7","212.4","212.5"
"Sean Tucker","RB","TB","243.9","170.3","","","242.6","220.8","209.3","213.6","199.4","214.3"
"J.J. Taylor","RB","FA","256.0","170.0","","","","","","","","213.0"
"Cooper Kupp","WR","SEA","226.7","168.9","119.5","162.7","231.1","325.6","221.0","241.5","211.5","212.1"
"Calvin Ridley","WR","TEN","253.2","167.9","","166.5","209.1","276.3","218.2","230.8","197.5","214.9"
"Jack Strand","QB","ATL","","","","","","","","","216.0","216.0"
"KJ Hamler","WR","","","","","","","","","","216.0","216.0"
"Jordan Moore","WR","CIN","","","","","","","","","216.0","216.0"
"Noah Whittington","RB","HOU","","","","","","","","","216.0","216.0"
"Jabari Small","RB","DET","","","","","","","","","216.0","216.0"
"Tyreek Hill","WR","FA","209.5","169.8","131.7","","258.9","","215.6","251.7","215.6","207.5"
"Ja'Kobi Lane","WR","BAL","175.7","166.8","","157.7","264.9","176.9","238.9","266.8","169.1","202.1"
"George Holani","RB","SEA","","170.3","","","251.9","202.5","230.0","237.7","212.3","217.5"
"Saints","DST","NO","244.6","169.9","","162.7","263.4","","223.4","237.4","","216.9"
"Tua Tagovailoa","QB","ATL","236.5","170.1","","","269.4","","198.1","226.5","210.2","218.5"
"Cyrus Allen","WR","KC","199.2","169.6","","","262.6","167.3","237.8","256.6","177.9","210.1"
"Jacoby Brissett","QB","ARI","243.0","170.1","","","241.3","336.1","159.4","191.5","198.4","220.0"
